Name,Years,Position,Party,State,Congress,Link
"BURROWS, Julius Caesar",1837-1915,Representative,Republican,MI,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001142
"BUTLER, Benjamin Franklin",1818-1893,Representative,Republican,MA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001174
"BUTLER, Roderick Randum",1827-1902,Representative,Republican,TN,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001188
"CAIN, Richard Harvey",1825-1887,Representative,Republican,SC,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000022
"CALDWELL, Alexander",1830-1917,Senator,Republican,KS,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000027
"CALDWELL, John Henry",1826-1902,Representative,Democrat,AL,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000035
"CAMERON, Simon",1799-1889,Senator,Republican,PA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000068
"CANNON, George Quayle",1827-1901,Delegate,Republican,UT,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000119
"CANNON, Joseph Gurney",1836-1926,Representative,Republican,IL,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000121
"CARPENTER, Lewis Cass",1836-1908,Representative,Republican,SC,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000170
"CARPENTER, Matthew Hale",1824-1881,Senator,Republican,WI,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000171
"CASON, Thomas Jefferson",1828-1901,Representative,Republican,IN,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000232
"CASSERLY, Eugene",1820-1883,Senator,Democrat,CA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000236
"CAULFIELD, Bernard Gregory",1828-1887,Representative,Democrat,IL,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000255
"CESSNA, John",1821-1893,Representative,Republican,PA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000265
