Name,Years,Position,Party,State,Congress,Link
"LAWRENCE, Effingham",1820-1878,Representative,Democrat,LA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000132
"LAWRENCE, William",1819-1899,Representative,Republican,OH,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000140
"LAWSON, John Daniel",1816-1896,Representative,Republican,NY,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000144
"LEACH, James Madison",1815-1891,Representative,Democrat,NC,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000170
"LEWIS, Barbour",1818-1893,Representative,Republican,TN,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000271
"LEWIS, John Francis",1818-1895,Senator,Republican,VA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000285
"LOFLAND, James Rush",1823-1894,Representative,Republican,DE,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000398
"LOGAN, John Alexander",1826-1886,Senator,Republican,IL,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000403
"LOUGHRIDGE, William",1827-1889,Representative,Republican,IA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000451
"LOWE, David Perley",1823-1882,Representative,Republican,KS,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000473
"LOWNDES, Lloyd, Jr.",1845-1905,Representative,Republican,MD,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000481
"LUTTRELL, John King",1831-1893,Representative,Democrat,CA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000522
"LYNCH, John Roy",1847-1939,Representative,Republican,MS,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000533
"MacDOUGALL, Clinton Dugald",1839-1914,Representative,Republican,NY,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000007
"MAGEE, John Alexander",1827-1903,Representative,Democrat,PA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000048
"MAGINNIS, Martin",1841-1919,Delegate,Democrat,MT,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000050
"MARSHALL, Samuel Scott",1821-1890,Representative,Democrat,IL,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000160
"MARTIN, James Stewart",1826-1907,Representative,Republican,IL,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000184
"MAYNARD, Horace",1814-1882,Representative,Republican,TN,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000284
"McCORMICK, Richard Cunningham",1832-1901,Delegate,Unionist,AZ,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000371
"McCRARY, George Washington",1835-1890,Representative,Republican,IA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000379
"McCREERY, Thomas Clay",1816-1890,Senator,Democrat,KY,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000385
"McDILL, Alexander Stuart",1822-1875,Representative,Republican,WI,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000406
"McDILL, James Wilson",1834-1894,Representative,Republican,IA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000407
"McFADDEN, Obadiah Benton",1815-1875,Delegate,Democrat,WA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000435
"McJUNKIN, Ebenezer",1819-1907,Representative,Republican,PA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000487
"McKEE, George Colin",1837-1890,Representative,Republican,MS,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000494
"McLEAN, William Pinkney",1836-1925,Representative,Democrat,TX,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000553
"McNULTA, John",1837-1900,Representative,Republican,IL,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000587
"MELLISH, David Batcheller",1831-1874,Representative,Republican,NY,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000637
"MERRIAM, Clinton Levi",1824-1900,Representative,Republican,NY,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000653
"MERRIMON, Augustus Summerfield",1830-1892,Senator,Democrat,NC,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000659
"MILLIKEN, Charles William",1827-1915,Representative,Democrat,KY,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000768
"MILLS, Roger Quarles",1832-1911,Representative,Democrat,TX,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000777
"MITCHELL, Alexander",1817-1887,Representative,Democrat,WI,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000802
"MITCHELL, John Hipple",1835-1905,Senator,Republican,OR,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000818
"MONROE, James",1821-1898,Representative,Republican,OH,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000857
"MOORE, William Sutton",1822-1877,Representative,Republican,PA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000925
"MOREY, Frank",1840-1890,Representative,Republican,LA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000942
"MORRILL, Justin Smith",1810-1898,Senator,Republican,VT,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000969
"MORRILL, Lot Myrick",1813-1883,Senator,Republican,ME,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000970
"MORRISON, William Ralls",1824-1909,Representative,Democrat,IL,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001000
"MORTON, Oliver Hazard Perry Throck",1823-1877,Senator,Republican,IN,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001020
"MYERS, Leonard",1827-1905,Representative,Republican,PA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001131
"NEAL, Lawrence Talbot",1844-1905,Representative,Democrat,OH,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=N000014
"NEGLEY, James Scott",1826-1901,Representative,Republican,PA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=N000024
"NESMITH, James Willis",1820-1885,Representative,Democrat,OR,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=N000050
"NIBLACK, William Ellis",1822-1893,Representative,Democrat,IN,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=N000083
"NILES, Jason",1814-1894,Representative,Republican,MS,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=N000107
"NORWOOD, Thomas Manson",1830-1913,Senator,Democrat,GA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=N000160
"NUNN, David Alexander",1833-1918,Representative,Republican,TN,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=N000170
"O'BRIEN, William James",1836-1905,Representative,Democrat,MD,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=O000017
"O'NEILL, Charles",1821-1893,Representative,Republican,PA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=O000093
"OGLESBY, Richard James",1824-1899,Senator,Republican,IL,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=O000048
"ORR, Jackson",1832-1926,Representative,Republican,IA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=O000103
"ORTH, Godlove Stein",1817-1882,Representative,Republican,IN,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=O000106
"PACKARD, Jasper",1832-1899,Representative,Republican,IN,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000004
"PACKER, John Black",1824-1891,Representative,Republican,PA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000008
"PAGE, Horace Francis",1833-1890,Representative,Republican,CA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000017
"PARKER, Hosea Washington",1833-1922,Representative,Democrat,NH,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000057
"PARKER, Isaac Charles",1838-1896,Representative,Republican,MO,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000059
"PARSONS, Richard Chappel",1826-1899,Representative,Republican,OH,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000089
"PATTERSON, John James",1830-1912,Senator,Republican,SC,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000123
"PEASE, Henry Roberts",1835-1907,Senator,Republican,MS,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000172
"PELHAM, Charles",1835-1908,Representative,Republican,AL,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000192
"PENDLETON, James Monroe",1822-1889,Representative,Republican,RI,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000204
"PERRY, Eli",1799-1881,Representative,Democrat,NY,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000242
"PHELPS, William Walter",1839-1894,Representative,Republican,NJ,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000302
"PHILLIPS, William Addison",1824-1893,Representative,Republican,KS,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000315
"PIERCE, Henry Lillie",1825-1896,Representative,Republican,MA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000335
"PIKE, Austin Franklin",1819-1886,Representative,Republican,NH,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000345
"PLATT, James Henry, Jr.",1837-1894,Representative,Republican,VA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000380
"PLATT, Thomas Collier",1833-1910,Representative,Republican,NY,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000383
"POLAND, Luke Potter",1815-1887,Representative,Republican,VT,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000406
"POTTER, Clarkson Nott",1825-1882,Representative,Democrat,NY,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000461
"PRATT, Daniel Darwin",1813-1877,Senator,Republican,IN,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000497
"PRATT, Henry Otis",1838-1931,Representative,Republican,IA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000501
"PURMAN, William James",1840-1928,Representative,Republican,FL,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000572
"RAINEY, Joseph Hayne",1832-1887,Representative,Republican,SC,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000016
"RAMSEY, Alexander",1815-1903,Senator,Republican,MN,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000026
"RANDALL, Samuel Jackson",1828-1890,Representative,Democrat,PA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000039
"RANSIER, Alonzo Jacob",1834-1882,Representative,Republican,SC,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000060
"RANSOM, Matt Whitaker",1826-1904,Senator,Democrat,NC,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000062
"RAPIER, James Thomas",1837-1883,Representative,Republican,AL,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000064
"RAY, William Henry",1812-1881,Representative,Republican,IL,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000081
"READ, William Brown",1817-1880,Representative,Democrat,KY,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000094
"RICE, John Blake",1809-1874,Representative,Republican,IL,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000200
"RICHMOND, Hiram Lawton",1810-1885,Representative,Republican,PA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000233
"ROBBINS, William McKendree",1828-1905,Representative,Democrat,NC,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000302
"ROBERTS, Ellis Henry",1827-1918,Representative,Republican,NY,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000310
"ROBERTS, William Randall",1830-1897,Representative,Democrat,NY,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000316
"ROBERTSON, Thomas James",1823-1897,Senator,Republican,SC,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000327
"ROBINSON, James Carroll",1823-1886,Representative,Democrat,IL,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000336
"ROBINSON, James Wallace",1826-1898,Representative,Republican,OH,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000340
"ROSS, Sobieski",1828-1877,Representative,Republican,PA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000454
"RUSK, Jeremiah McLain",1830-1893,Representative,Republican,WI,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000517
"SARGENT, Aaron Augustus",1827-1887,Senator,Republican,CA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000065
"SAULSBURY, Eli",1817-1893,Senator,Democrat,DE,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000072
"SAWYER, Philetus",1816-1900,Representative,Republican,WI,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000091
"SAYLER, Henry Benton",1836-1900,Representative,Republican,IN,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000100
"SAYLER, Milton",1831-1892,Representative,Democrat,OH,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000101
"SCHELL, Richard",1810-1879,Representative,Democrat,NY,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000114
"SCHUMAKER, John Godfrey",1826-1905,Representative,Democrat,NY,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000147
"SCHURZ, Carl",1829-1906,Senator,Republican,MO,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000151
"SCOFIELD, Glenni William",1817-1891,Representative,Republican,PA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000164
"SCOTT, John",1824-1896,Senator,Republican,PA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000177
"SCUDDER, Henry Joel",1825-1886,Representative,Republican,NY,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000197
"SCUDDER, Isaac Williamson",1816-1881,Representative,Republican,NJ,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000199
"SENER, James Beverley",1837-1903,Representative,Republican,VA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000240
"SESSIONS, Walter Loomis",1820-1896,Representative,Republican,NY,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000251
"SHANKS, John Peter Cleaver",1826-1901,Representative,Republican,IN,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000284
"SHEATS, Charles Christopher",1839-1904,Representative,Republican,AL,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000314
"SHELDON, Lionel Allen",1828-1917,Representative,Republican,LA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000322
"SHERIDAN, George Augustus",1840-1896,Representative,Liberal Republican,LA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000341
"SHERMAN, John",1823-1900,Senator,Republican,OH,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000346
"SHERWOOD, Isaac R.",1835-1925,Representative,Republican,OH,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000355
"SHOEMAKER, Lazarus Denison",1819-1893,Representative,Republican,PA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000375
"SLOAN, Andrew",1845-1883,Representative,Republican,GA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000489
"SLOSS, Joseph Humphrey",1826-1911,Representative,Democrat,AL,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000498
"SMALL, William Bradbury",1817-1878,Representative,Republican,NH,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000501
"SMART, James Stevenson",1842-1903,Representative,Republican,NY,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000504
"SMITH, Abraham Herr",1815-1894,Representative,Republican,PA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000509
"SMITH, George Luke",1837-1884,Representative,Republican,LA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000539
"SMITH, Horace Boardman",1826-1888,Representative,Republican,NY,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000552
"SMITH, John Ambler",1847-1892,Representative,Republican,VA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000568
"SMITH, John Quincy",1824-1901,Representative,Republican,OH,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000574
"SMITH, William Alexander",1828-1888,Representative,Republican,NC,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000630
"SNYDER, Oliver P.",1833-1882,Representative,Republican,AR,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000671
"SOUTHARD, Milton Isaiah",1836-1905,Representative,Democrat,OH,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000688
"SPEER, Robert Milton",1838-1890,Representative,Democrat,PA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000713
"SPENCER, George Eliphaz",1836-1893,Senator,Republican,AL,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000723
"SPRAGUE, William",1830-1915,Senator,Republican,RI,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000747
"SPRAGUE, William Peter",1827-1899,Representative,Republican,OH,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000748
"ST. JOHN, Charles",1818-1891,Representative,Republican,NY,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000765
"STANARD, Edwin Obed",1832-1914,Representative,Republican,MO,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000787
"STANDIFORD, Elisha David",1831-1887,Representative,Democrat,KY,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000790
"STARKWEATHER, Henry Howard",1826-1876,Representative,Republican,CT,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000815
"STEELE, William Randolph",1842-1901,Delegate,Democrat,WY,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000840
"STEPHENS, Alexander Hamilton",1812-1883,Representative,Democrat,GA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000854
"STEVENS, Charles Abbot",1816-1892,Representative,Republican,MA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000877
"STEVENSON, John White",1812-1886,Senator,Democrat,KY,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000894
"STEWART, William Morris",1827-1909,Senator,Republican,NV,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000922
"STOCKTON, John Potter",1826-1900,Senator,Democrat,NJ,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000939
"STONE, William Henry",1828-1901,Representative,Democrat,MO,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000967
"STORM, John Brutzman",1838-1901,Representative,Democrat,PA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000975
"STOWELL, William Henry Harrison",1840-1922,Representative,Republican,VA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000985
"STRAIT, Horace Burton",1835-1894,Representative,Republican,MN,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000988
"STRAWBRIDGE, James Dale",1824-1890,Representative,Republican,PA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S001001
"SUMNER, Charles",1811-1874,Senator,Liberal Republican,MA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S001068
"SWANN, Thomas",1809-1883,Representative,Democrat,MD,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S001092
"SYPHER, Jacob Hale",1837-1905,Representative,Republican,LA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S001140
"TAYLOR, Alexander Wilson",1815-1893,Representative,Republican,PA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000063
"THOMAS, Charles Randolph",1827-1891,Representative,Republican,NC,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000158
"THOMAS, Christopher Yancy",1818-1879,Representative,Republican,VA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000161
"THOMPSON, John McCandless",1829-1903,Representative,Republican,PA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000209
"THORNBURGH, Jacob Montgomery",1837-1890,Representative,Republican,TN,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000239
"THURMAN, Allen Granberry",1813-1895,Senator,Democrat,OH,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000251
"TIPTON, Thomas Weston",1817-1899,Senator,Republican,NE,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000286
"TODD, Lemuel",1817-1891,Representative,Republican,PA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000293
"TOWNSEND, Washington",1813-1894,Representative,Republican,PA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000337
"TREMAIN, Lyman",1819-1878,Representative,Republican,NY,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000364
"TYNER, James Noble",1826-1904,Representative,Republican,IN,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000452
"VANCE, Robert Brank",1828-1899,Representative,Democrat,NC,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=V000019
"WADDELL, Alfred Moore",1834-1912,Representative,Democrat,NC,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000002
"WADLEIGH, Bainbridge",1831-1891,Senator,Republican,NH,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000009
"WALDRON, Henry",1819-1880,Representative,Republican,MI,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000041
"WALLACE, Alexander Stuart",1810-1893,Representative,Republican,SC,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000074
"WALLS, Josiah Thomas",1842-1905,Representative,Republican,FL,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000093
"WARD, Jasper Delos",1829-1902,Representative,Republican,IL,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000135
"WARD, Marcus Lawrence",1812-1884,Representative,Republican,NJ,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000137
"WASHBURN, William Barrett",1820-1887,Senator,Republican,MA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000174
"WELLS, Erastus",1823-1893,Representative,Democrat,MO,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000282
"WEST, Joseph Rodman",1822-1898,Senator,Republican,LA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000303
"WHEELER, William Almon",1819-1887,Representative,Republican,NY,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000341
"WHITE, Alexander",1816-1893,Representative,Republican,AL,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000353
"WHITEHEAD, Thomas",1825-1901,Representative,Democrat,VA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000401
"WHITEHOUSE, John Osborne",1817-1881,Representative,Democrat,NY,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000405
"WHITELEY, Richard Henry",1830-1890,Representative,Republican,GA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000408
"WHITING, William",1813-1873,Representative,Republican,MA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000417
"WHITTHORNE, Washington Curran",1825-1891,Representative,Democrat,TN,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000429
"WILBER, David",1820-1890,Representative,Republican,NY,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000452
"WILLARD, Charles Wesley",1827-1880,Representative,Republican,VT,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000478
"WILLARD, George",1824-1901,Representative,Republican,MI,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000479
"WILLIAMS, Charles Grandison",1829-1892,Representative,Republican,WI,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000492
"WILLIAMS, John McKeown Snow",1818-1886,Representative,Republican,MA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000519
"WILLIAMS, William",1821-1896,Representative,Republican,IN,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000545
"WILLIAMS, William Brewster",1826-1905,Representative,Republican,MI,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000547
"WILLIE, Asa Hoxie",1829-1899,Representative,Democrat,TX,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000555
"WILSHIRE, William Wallace",1830-1888,Representative,Republican,AR,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000567
"WILSON, Ephraim King",1821-1891,Representative,Democrat,MD,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000577
"WILSON, James",1835-1920,Representative,Republican,IA,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000590
"WILSON, Jeremiah Morrow",1828-1901,Representative,Republican,IN,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000596
"WILSON, Joseph Gardner",1826-1873,Representative,Republican,OR,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000605
"WINDOM, William",1827-1891,Senator,Republican,MN,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000629
"WOLFE, Simeon Kalfius",1824-1888,Representative,Democrat,IN,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000677
"WOOD, Fernando",1812-1881,Representative,Democrat,NY,43(1873-1874),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000694
